Brand,Category,Color,Size,Material,Rating,Reviews,Discount,Stock,Price
Zara,Jacket,White,XL,Cotton,4.8,469,46,78,3820.48
H&M,Shirt,White,XL,Wool,3.7,410,38,123,3670.49
Puma,T-shirt,White,M,Wool,4,560,36,171,2402.28
H&M,Dress,White,XL,Polyester,4.4,402,49,3,2059.36
H&M,Dress,Green,L,Polyester,2.9,876,55,89,2289.26
Adidas,Shirt,Green,XL,Wool,3.8,773,53,103,1689.24
Puma,Jacket,Blue,S,Denim,3.5,854,25,136,1424
Puma,Jacket,Red,XL,Wool,2.9,216,50,118,2673.68
Puma,T-shirt,White,M,Polyester,3.4,219,48,132,1708.4
H&M,Shirt,Blue,S,Cotton,2.7,124,25,55,1793.58
Zara,Dress,Red,M,Cotton,2.6,746,48,95,3455.4
Puma,Jacket,Black,M,Denim,2.8,655,15,177,4858.42
H&M,Shirt,Green,S,Wool,4.9,260,43,74,3216.37
Adidas,Jacket,Red,M,Cotton,3.9,228,8,142,846.41
Zara,Jacket,Black,M,Wool,4.9,416,55,31,840.13
Adidas,Dress,Red,XL,Polyester,3.6,452,5,27,4781.4
Zara,Jeans,Green,L,Cotton,3.3,612,32,21,1837.81
H&M,T-shirt,Green,M,Denim,3.8,363,28,16,914.3
Nike,T-shirt,Blue,M,Polyester,3.6,897,39,58,3195.7
Zara,Dress,White,M,Denim,2.8,567,17,89,3306.42
Adidas,Jacket,Red,XL,Polyester,4.1,559,51,198,3418.27
H&M,Shirt,Red,L,Cotton,3,151,38,105,1703.31
Zara,Jacket,Black,S,Denim,4,621,15,184,568
Nike,Dress,Green,XL,Denim,4.1,510,40,25,4842.57
Nike,T-shirt,Red,XL,Polyester,2.9,849,55,24,1629.02
Puma,Jacket,Green,L,Denim,2.7,711,21,137,3542.12
Puma,T-shirt,Red,L,Polyester,4.5,556,39,44,3679.83
Adidas,Shirt,Blue,XL,Polyester,3.6,668,22,82,3245.03
Zara,T-shirt,White,S,Polyester,2.6,551,44,10,1908.08
Zara,T-shirt,Red,XL,Polyester,5,855,26,180,1719.93
Puma,Jeans,Green,L,Cotton,2.6,516,28,199,3189.51
Zara,Jeans,Blue,S,Polyester,4.2,605,23,103,4397.43
Zara,Jeans,Red,L,Wool,5,890,41,67,4760.3
Nike,T-shirt,Black,S,Denim,3.1,290,43,94,976.58
Puma,Dress,White,M,Wool,2.9,433,25,155,1196.73
H&M,T-shirt,Red,L,Cotton,2.8,865,12,64,4751.31
Puma,Dress,Blue,L,Wool,3.3,279,32,48,3814.41
H&M,Dress,Black,XL,Denim,2.8,163,9,174,4473.47
Nike,Jeans,Blue,L,Wool,4.2,623,21,51,1411.85
Adidas,Jacket,Blue,L,Cotton,2.7,736,41,101,3144.14
Zara,Shirt,Black,M,Polyester,3.8,671,40,181,3655.13
Nike,Jeans,Blue,L,Wool,5,953,58,187,3560.5
Zara,Jeans,Black,M,Cotton,4.5,92,23,56,2336.68
Adidas,Jacket,Red,M,Cotton,4,631,31,46,569.28
Adidas,Shirt,Black,M,Denim,3.3,956,57,158,3123.17
Nike,T-shirt,Black,M,Denim,4.1,908,38,173,1638.96
Adidas,T-shirt,White,S,Wool,3.8,435,15,25,2526.14
H&M,Jeans,Black,XL,Polyester,3.6,284,58,113,4809.11
Adidas,Shirt,Black,S,Cotton,2.8,722,49,4,2295.66
Zara,Jeans,Red,L,Wool,4.7,293,51,83,4279.11
Zara,Dress,White,S,Cotton,3.6,989,16,51,1348.43
Zara,Jeans,Green,S,Cotton,3,182,58,104,3526.07
Zara,Jeans,Red,L,Polyester,3.4,336,25,53,4896.53
